archivo,carrera,nivel,codigo
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,CSHD111
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,ICOD111
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,LAED132
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,LAED142
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,LAED153
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,MATD113
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,1,MATD123
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,CSHD211
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,LAED233
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,LAED243
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,LAED252
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,MATD213
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,2,MATD223
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,CSHD300
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,LAED313
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,LAED323
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,LAED333
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,LAED343
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,3,LAED352
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,CSHD400
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,LAED412
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,LAED423
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,LAED433
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,LAED443
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,4,LAED453
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED513
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED522
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED533
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED543
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED552
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,5,LAED562
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED613
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED622
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED633
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED643
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED652
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,6,LAED662
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,7,LAED713
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,7,LAED723
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,7,LAED733
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,7,LAED743
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,7,LAED753
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED812
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED822
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED833
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED842
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED852
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,LAED863
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,8,TITD101
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,9,LAED913
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,9,PRLD105
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,9,PSCD202
malla_administracion_empresas,ADMINISTRACIÓN DE EMPRESAS,9,TITD201
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,CSHD111
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,FISD134
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,ICOD111
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,MATD113
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,MATD123
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,1,QUID143
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD222
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD242
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD253
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,IAQD262
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,MATD213
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,2,MATD223
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,AGRD354
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD312
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD323
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD333
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,3,IAQD343
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD412
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD443
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,AGRD453
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD423
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD432
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,4,IAQD462
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD522
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD534
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD553
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,AGRD563
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,IAQD511
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,5,IAQD562
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,ADMD511
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD613
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD623
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD633
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,AGRD643
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,CSHD211
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,6,CSHD300
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD723
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD733
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD743
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD752
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,AGRD761
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,CSHD400
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,7,IAQD722
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,ADMD611
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,ADMD711
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD800
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD814
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD822
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,AGRD842
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,8,TITD101
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,AGRD900
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,PRLD105
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,PSCD202
malla_agroindustria,AGROINDUSTRIA Organización del Aprendizaje,9,TITD201
malla_ambiental,INGENIERÍA AMBIENTAL,1,CSHD111
malla_ambiental,INGENIERÍA AMBIENTAL,1,FISD134
malla_ambiental,INGENIERÍA AMBIENTAL,1,ICOD111
malla_ambiental,INGENIERÍA AMBIENTAL,1,MATD113
malla_ambiental,INGENIERÍA AMBIENTAL,1,MATD123
malla_ambiental,INGENIERÍA AMBIENTAL,1,QUID143
malla_ambiental,INGENIERÍA AMBIENTAL,2,AMBD243
malla_ambiental,INGENIERÍA AMBIENTAL,2,AMBD252
malla_ambiental,INGENIERÍA AMBIENTAL,2,CSHD211
malla_ambiental,INGENIERÍA AMBIENTAL,2,CVLD233
malla_ambiental,INGENIERÍA AMBIENTAL,2,MATD213
malla_ambiental,INGENIERÍA AMBIENTAL,2,MATD223
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD313
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD323
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD333
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD342
malla_ambiental,INGENIERÍA AMBIENTAL,3,AMBD353
malla_ambiental,INGENIERÍA AMBIENTAL,3,CSHD300
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD424
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD434
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD443
malla_ambiental,INGENIERÍA AMBIENTAL,4,AMBD453
malla_ambiental,INGENIERÍA AMBIENTAL,4,CSDH400
malla_ambiental,INGENIERÍA AMBIENTAL,5,ADMD511
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD513
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD522
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD533
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD542
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD553
malla_ambiental,INGENIERÍA AMBIENTAL,5,AMBD571
malla_ambiental,INGENIERÍA AMBIENTAL,6,ADMD611
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD613
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD623
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD633
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD642
malla_ambiental,INGENIERÍA AMBIENTAL,6,AMBD653
malla_ambiental,INGENIERÍA AMBIENTAL,7,ADMD711
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD713
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD723
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD733
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD743
malla_ambiental,INGENIERÍA AMBIENTAL,7,AMBD752
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD800
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD813
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD823
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD833
malla_ambiental,INGENIERÍA AMBIENTAL,8,AMBD843
malla_ambiental,INGENIERÍA AMBIENTAL,8,TITD101
malla_ambiental,INGENIERÍA AMBIENTAL,9,AMBD900
malla_ambiental,INGENIERÍA AMBIENTAL,9,AMBD911
malla_ambiental,INGENIERÍA AMBIENTAL,9,PRLD105
malla_ambiental,INGENIERÍA AMBIENTAL,9,PSCD202
malla_ambiental,INGENIERÍA AMBIENTAL,9,TITD201
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,CSHD111
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,FISD134
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,ICCD144
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,MATD113
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,1,MATD123
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,CSHD211
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD144
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD244
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ICCD332
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ISID223
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,ISID232
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,2,MATD213
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD323
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD343
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ICCD353
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ISID232
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,ISWD453
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,3,MATD223
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,CSHD300
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ICCD422
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ICCD442
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,IDSD413
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,IDSD422
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,ISWD553
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,4,PSCD202
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ADMD511
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,CSHD400
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD244
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD353
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ICCD523
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD513
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD522
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,IDSD533
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,5,ISID432
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,ICCD643
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD613
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD623
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,IDSD633
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,6,ISWD613
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ADMD611
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ADMD711
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD713
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD723
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD733
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,IDSD742
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,7,ISID642
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,ICCD842
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD813
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD823
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD833
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,IDSD843
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,8,TITD104
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,IDSD933
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,IDSD942
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,PRLD105
malla_ciencia_datos_IA,CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,9,TITD201
malla_civil,INGENIERÍA CIVIL,1,CSHD111
malla_civil,INGENIERÍA CIVIL,1,FISD134
malla_civil,INGENIERÍA CIVIL,1,ICOD111
malla_civil,INGENIERÍA CIVIL,1,MATD113
malla_civil,INGENIERÍA CIVIL,1,MATD123
malla_civil,INGENIERÍA CIVIL,1,QUID143
malla_civil,INGENIERÍA CIVIL,2,CSHD211
malla_civil,INGENIERÍA CIVIL,2,CVLD233
malla_civil,INGENIERÍA CIVIL,2,CVLD244
malla_civil,INGENIERÍA CIVIL,2,CVLD251
malla_civil,INGENIERÍA CIVIL,2,MATD213
malla_civil,INGENIERÍA CIVIL,2,MATD223
malla_civil,INGENIERÍA CIVIL,3,CSHD300
malla_civil,INGENIERÍA CIVIL,3,CVLD312
malla_civil,INGENIERÍA CIVIL,3,CVLD323
malla_civil,INGENIERÍA CIVIL,3,CVLD333
malla_civil,INGENIERÍA CIVIL,3,CVLD344
malla_civil,INGENIERÍA CIVIL,3,CVLD352
malla_civil,INGENIERÍA CIVIL,4,CSHD400
malla_civil,INGENIERÍA CIVIL,4,CVLD413
malla_civil,INGENIERÍA CIVIL,4,CVLD423
malla_civil,INGENIERÍA CIVIL,4,CVLD433
malla_civil,INGENIERÍA CIVIL,4,CVLD443
malla_civil,INGENIERÍA CIVIL,4,CVLD452
malla_civil,INGENIERÍA CIVIL,5,ADMD511
malla_civil,INGENIERÍA CIVIL,5,CVLD513
malla_civil,INGENIERÍA CIVIL,5,CVLD522
malla_civil,INGENIERÍA CIVIL,5,CVLD532
malla_civil,INGENIERÍA CIVIL,5,CVLD543
malla_civil,INGENIERÍA CIVIL,5,CVLD554
malla_civil,INGENIERÍA CIVIL,6,ADMD611
malla_civil,INGENIERÍA CIVIL,6,CVLD612
malla_civil,INGENIERÍA CIVIL,6,CVLD622
malla_civil,INGENIERÍA CIVIL,6,CVLD632
malla_civil,INGENIERÍA CIVIL,6,CVLD642
malla_civil,INGENIERÍA CIVIL,6,CVLD653
malla_civil,INGENIERÍA CIVIL,6,CVLD673
malla_civil,INGENIERÍA CIVIL,7,ADMD711
malla_civil,INGENIERÍA CIVIL,7,CVLD722
malla_civil,INGENIERÍA CIVIL,7,CVLD733
malla_civil,INGENIERÍA CIVIL,7,CVLD743
malla_civil,INGENIERÍA CIVIL,7,CVLD753
malla_civil,INGENIERÍA CIVIL,7,CVLD773
malla_civil,INGENIERÍA CIVIL,8,CVLD800
malla_civil,INGENIERÍA CIVIL,8,CVLD822
malla_civil,INGENIERÍA CIVIL,8,CVLD833
malla_civil,INGENIERÍA CIVIL,8,CVLD843
malla_civil,INGENIERÍA CIVIL,8,CVLD853
malla_civil,INGENIERÍA CIVIL,8,CVLD871
malla_civil,INGENIERÍA CIVIL,8,TITD101
malla_civil,INGENIERÍA CIVIL,9,CVLD900
malla_civil,INGENIERÍA CIVIL,9,CVLD971
malla_civil,INGENIERÍA CIVIL,9,PRLD105
malla_civil,INGENIERÍA CIVIL,9,PSCD202
malla_civil,INGENIERÍA CIVIL,9,TITD201
malla_computacion,COMPUTACIÓN,1,CSHD111
malla_computacion,COMPUTACIÓN,1,FISD134
malla_computacion,COMPUTACIÓN,1,ICCD144
malla_computacion,COMPUTACIÓN,1,MATD113
malla_computacion,COMPUTACIÓN,1,MATD123
malla_computacion,COMPUTACIÓN,2,CSHD211
malla_computacion,COMPUTACIÓN,2,ICCD224
malla_computacion,COMPUTACIÓN,2,ICCD233
malla_computacion,COMPUTACIÓN,2,ICCD244
malla_computacion,COMPUTACIÓN,2,MATD213
malla_computacion,COMPUTACIÓN,3,CSHD400
malla_computacion,COMPUTACIÓN,3,ICCD323
malla_computacion,COMPUTACIÓN,3,ICCD332
malla_computacion,COMPUTACIÓN,3,ICCD343
malla_computacion,COMPUTACIÓN,3,ICCD353
malla_computacion,COMPUTACIÓN,3,MATD223
malla_computacion,COMPUTACIÓN,4,CSHD400
malla_computacion,COMPUTACIÓN,4,ICCD412
malla_computacion,COMPUTACIÓN,4,ICCD422
malla_computacion,COMPUTACIÓN,4,ICCD432
malla_computacion,COMPUTACIÓN,4,ICCD442
malla_computacion,COMPUTACIÓN,4,ICCD453
malla_computacion,COMPUTACIÓN,4,ICCD463
malla_computacion,COMPUTACIÓN,5,ADMD511
malla_computacion,COMPUTACIÓN,5,ICCD512
malla_computacion,COMPUTACIÓN,5,ICCD523
malla_computacion,COMPUTACIÓN,5,ICCD533
malla_computacion,COMPUTACIÓN,5,ICCD563
malla_computacion,COMPUTACIÓN,5,ISWD553
malla_computacion,COMPUTACIÓN,6,ICCD623
malla_computacion,COMPUTACIÓN,6,ICCD632
malla_computacion,COMPUTACIÓN,6,ICCD643
malla_computacion,COMPUTACIÓN,6,ICCD654
malla_computacion,COMPUTACIÓN,6,ISWD613
malla_computacion,COMPUTACIÓN,7,ICCD733
malla_computacion,COMPUTACIÓN,7,ICCD753
malla_computacion,COMPUTACIÓN,7,ISWD713
malla_computacion,COMPUTACIÓN,7,ISWD723
malla_computacion,COMPUTACIÓN,7,ISWD743
malla_computacion,COMPUTACIÓN,8,ADMD611
malla_computacion,COMPUTACIÓN,8,ADMD711
malla_computacion,COMPUTACIÓN,8,ICCD814
malla_computacion,COMPUTACIÓN,8,ICCD823
malla_computacion,COMPUTACIÓN,8,ICCD833
malla_computacion,COMPUTACIÓN,8,ICCD842
malla_computacion,COMPUTACIÓN,8,TITD104
malla_computacion,COMPUTACIÓN,9,ICCD943
malla_computacion,COMPUTACIÓN,9,PRLD105
malla_computacion,COMPUTACIÓN,9,PSCD202
malla_computacion,COMPUTACIÓN,9,TITD201
malla_economia,ECONOMÍA,1,CSHD111
malla_economia,ECONOMÍA,1,ICOD151
malla_economia,ECONOMÍA,1,MATD115
malla_economia,ECONOMÍA,1,MATD124
malla_economia,ECONOMÍA,1,MATD133
malla_economia,ECONOMÍA,1,MATD141
malla_economia,ECONOMÍA,2,CSHD211
malla_economia,ECONOMÍA,2,ECOD232
malla_economia,ECONOMÍA,2,ECOD244
malla_economia,ECONOMÍA,2,MATD224
malla_economia,ECONOMÍA,2,MATD234
malla_economia,ECONOMÍA,3,ECOD324
malla_economia,ECONOMÍA,3,ECOD332
malla_economia,ECONOMÍA,3,ECOD345
malla_economia,ECONOMÍA,3,MATD314
malla_economia,ECONOMÍA,4,ECOD415
malla_economia,ECONOMÍA,4,ECOD422
malla_economia,ECONOMÍA,4,ECOD433
malla_economia,ECONOMÍA,4,ECOD445
malla_economia,ECONOMÍA,5,ADMD511
malla_economia,ECONOMÍA,5,ECOD515
malla_economia,ECONOMÍA,5,ECOD521
malla_economia,ECONOMÍA,5,ECOD535
malla_economia,ECONOMÍA,5,ECOD543
malla_economia,ECONOMÍA,6,ADMD611
malla_economia,ECONOMÍA,6,ECOD613
malla_economia,ECONOMÍA,6,ECOD623
malla_economia,ECONOMÍA,6,ECOD635
malla_economia,ECONOMÍA,6,ECOD643
malla_economia,ECONOMÍA,7,ADMD711
malla_economia,ECONOMÍA,7,ECOD713
malla_economia,ECONOMÍA,7,ECOD723
malla_economia,ECONOMÍA,7,ECOD735
malla_economia,ECONOMÍA,7,ECOD743
malla_economia,ECONOMÍA,8,CSHD300
malla_economia,ECONOMÍA,8,CSHD400
malla_economia,ECONOMÍA,8,ECOD814
malla_economia,ECONOMÍA,8,ECOD824
malla_economia,ECONOMÍA,8,ECOD834
malla_economia,ECONOMÍA,8,TITD101
malla_economia,ECONOMÍA,9,ECOD913
malla_economia,ECONOMÍA,9,PRLD105
malla_economia,ECONOMÍA,9,PSCD202
malla_economia,ECONOMÍA,9,TITD201
malla_electricidad,ELECTRICIDAD,1,CSHD111
malla_electricidad,ELECTRICIDAD,1,FISD134
malla_electricidad,ELECTRICIDAD,1,ICOD111
malla_electricidad,ELECTRICIDAD,1,MATD113
malla_electricidad,ELECTRICIDAD,1,MATD123
malla_electricidad,ELECTRICIDAD,1,QUID143
malla_electricidad,ELECTRICIDAD,2,CSHD211
malla_electricidad,ELECTRICIDAD,2,IEED232
malla_electricidad,ELECTRICIDAD,2,IEED242
malla_electricidad,ELECTRICIDAD,2,IEED252
malla_electricidad,ELECTRICIDAD,2,IEED272
malla_electricidad,ELECTRICIDAD,2,MATD213
malla_electricidad,ELECTRICIDAD,2,MATD223
malla_electricidad,ELECTRICIDAD,3,CSHD300
malla_electricidad,ELECTRICIDAD,3,IEED312
malla_electricidad,ELECTRICIDAD,3,IEED323
malla_electricidad,ELECTRICIDAD,3,IEED333
malla_electricidad,ELECTRICIDAD,3,IEED342
malla_electricidad,ELECTRICIDAD,3,IEED353
malla_electricidad,ELECTRICIDAD,3,IEED371
malla_electricidad,ELECTRICIDAD,4,CSHD400
malla_electricidad,ELECTRICIDAD,4,IEAD423
malla_electricidad,ELECTRICIDAD,4,IEED413
malla_electricidad,ELECTRICIDAD,4,IEED433
malla_electricidad,ELECTRICIDAD,4,IEED452
malla_electricidad,ELECTRICIDAD,4,IELD443
malla_electricidad,ELECTRICIDAD,5,ADMD511
malla_electricidad,ELECTRICIDAD,5,IEAD533
malla_electricidad,ELECTRICIDAD,5,IEAD553
malla_electricidad,ELECTRICIDAD,5,IELD512
malla_electricidad,ELECTRICIDAD,5,IELD523
malla_electricidad,ELECTRICIDAD,5,IELD543
malla_electricidad,ELECTRICIDAD,6,ADMD611
malla_electricidad,ELECTRICIDAD,6,ADMD711
malla_electricidad,ELECTRICIDAD,6,IELD613
malla_electricidad,ELECTRICIDAD,6,IELD622
malla_electricidad,ELECTRICIDAD,6,IELD633
malla_electricidad,ELECTRICIDAD,6,IELD643
malla_electricidad,ELECTRICIDAD,6,IELD652
malla_electricidad,ELECTRICIDAD,7,IELD713
malla_electricidad,ELECTRICIDAD,7,IELD722
malla_electricidad,ELECTRICIDAD,7,IELD732
